gri_year,gri_month,gri_date,kolla_year,kolla_month_eng,kolla_month_mal,kolla_date,naksha_eng,naksha_mal
2026,Augest,18,1202,Chingam,ചിങ്ങം,1,Chothi,ചോതി
2026,Augest,19,1202,Chingam,ചിങ്ങം,2,Chothi,ചോതി
2026,Augest,20,1202,Chingam,ചിങ്ങം,3,Vishkham,വിശാഖം
2026,Augest,21,1202,Chingam,ചിങ്ങം,4,Anizham,അനിഴം
2026,Augest,22,1202,Chingam,ചിങ്ങം,5,Thrikkettka,തൃക്കേട്ടക
2026,Augest,23,1202,Chingam,ചിങ്ങം,6,Moolam,മൂലം
2026,Augest,24,1202,Chingam,ചിങ്ങം,7,Pooratam,പൂരാടം
2026,Augest,25,1202,Chingam,ചിങ്ങം,8,Uthradam,ഉത്രാടം
2026,Augest,26,1202,Chingam,ചിങ്ങം,9,Thiruvonam,തിരുവോണം
2026,Augest,27,1202,Chingam,ചിങ്ങം,10,Avittam,അവിട്ടം
2026,Augest,28,1202,Chingam,ചിങ്ങം,11,Chathayam,ചതയം
2026,Augest,29,1202,Chingam,ചിങ്ങം,12,Puruttathi,പൂരുട്ടാതി
2026,Augest,30,1202,Chingam,ചിങ്ങം,13,Uthrattathi,ഉത്രട്ടാതി
2026,Augest,31,1202,Chingam,ചിങ്ങം,14,Revathi,രേവതി
2026,Sepember,1,1202,Chingam,ചിങ്ങം,15,Aswathi,അശ്വതി
2026,Sepember,2,1202,Chingam,ചിങ്ങം,16,Bharani,ഭരണി
2026,Sepember,3,1202,Chingam,ചിങ്ങം,17,Karthika,കാർത്തിക
2026,Sepember,4,1202,Chingam,ചിങ്ങം,18,Rohini,രോഹിണി
2026,Sepember,5,1202,Chingam,ചിങ്ങം,19,Makeryam,മകിര്യം
2026,Sepember,6,1202,Chingam,ചിങ്ങം,20,Thiruvathira,തിരുവാതിര
2026,Sepember,7,1202,Chingam,ചിങ്ങം,21,Punartham,പുണർതം
2026,Sepember,8,1202,Chingam,ചിങ്ങം,22,Pooyam,പൂയം
2026,Sepember,9,1202,Chingam,ചിങ്ങം,23,Ayilyam,ആയില്യം
2026,Sepember,10,1202,Chingam,ചിങ്ങം,24,Makam,മകം
2026,Sepember,11,1202,Chingam,ചിങ്ങം,25,Pooram,പൂരം
2026,Sepember,12,1202,Chingam,ചിങ്ങം,26,Uthram,ഉത്രം
2026,Sepember,13,1202,Chingam,ചിങ്ങം,27,Atham,അത്തം
2026,Sepember,14,1202,Chingam,ചിങ്ങം,28,Chithira,ചിത്ര
2026,Sepember,15,1202,Chingam,ചിങ്ങം,29,Chothi,ചോതി
2026,Sepember,16,1202,Chingam,ചിങ്ങം,30,Vishkham,വിശാഖം
2026,Sepember,17,1202,Chingam,ചിങ്ങം,31,Anizham,അനിഴം
2026,Sepember,18,1202,Kanni,കന്നി,1,Thrikkettka,തൃക്കേട്ടക
2026,Sepember,19,1202,Kanni,കന്നി,2,Moolam,മൂലം
2026,Sepember,20,1202,Kanni,കന്നി,3,Pooratam,പൂരാടം
2026,Sepember,21,1202,Kanni,കന്നി,4,Uthradam,ഉത്രാടം
2026,Sepember,22,1202,Kanni,കന്നി,5,Uthradam,ഉത്രാടം
2026,Sepember,23,1202,Kanni,കന്നി,6,Thiruvonam,തിരുവോണം
2026,Sepember,24,1202,Kanni,കന്നി,7,Avittam,അവിട്ടം
2026,Sepember,25,1202,Kanni,കന്നി,8,Chathayam,ചതയം
2026,Sepember,26,1202,Kanni,കന്നി,9,Puruttathi,പൂരുട്ടാതി
2026,Sepember,27,1202,Kanni,കന്നി,10,Uthrattathi,ഉത്രട്ടാതി
2026,Sepember,28,1202,Kanni,കന്നി,11,Revathi,രേവതി
2026,Sepember,29,1202,Kanni,കന്നി,12,Aswathi,അശ്വതി
2026,Sepember,30,1202,Kanni,കന്നി,13,Bharani,ഭരണി
2026,October,1,1202,Kanni,കന്നി,14,Karthika,കാർത്തിക
2026,October,2,1202,Kanni,കന്നി,15,Rohini,രോഹിണി
2026,October,3,1202,Kanni,കന്നി,16,Makeryam,മകിര്യം
2026,October,4,1202,Kanni,കന്നി,17,Thiruvathira,തിരുവാതിര
2026,October,5,1202,Kanni,കന്നി,18,Punartham,പുണർതം
2026,October,6,1202,Kanni,കന്നി,19,Pooyam,പൂയം
2026,October,7,1202,Kanni,കന്നി,20,Ayilyam,ആയില്യം
2026,October,8,1202,Kanni,കന്നി,21,Makam,മകം
2026,October,9,1202,Kanni,കന്നി,22,Pooram,പൂരം
2026,October,10,1202,Kanni,കന്നി,23,Uthram,ഉത്രം
2026,October,11,1202,Kanni,കന്നി,24,Atham,അത്തം
2026,October,12,1202,Kanni,കന്നി,25,Chithira,ചിത്ര
2026,October,13,1202,Kanni,കന്നി,26,Chothi,ചോതി
